Oct. 19, 2022   13:05:27
Amperometric i-t Curve
File: f:\Data Source:  Experiment
Instrument Model:  CHI760E
Ref. Electrode: 
Header: 
Note: 

Init E (V) = 0.5
Sample Interval (s) = 0.1
Run Time (sec) = 150
Quiet Time (sec) = 0.2
Sensitivity (A/V) = 1e-9


Time/sec, Current/A

4.08999e+1, -2.92172e-9
4.09999e+1, -2.92179e-9
4.10999e+1, -2.92178e-9
4.11999e+1, -2.92135e-9
4.12999e+1, -2.92143e-9
4.13999e+1, -2.92106e-9
4.14999e+1, -2.92099e-9
4.15999e+1, -2.92111e-9
4.16999e+1, -2.92111e-9
4.17999e+1, -2.92082e-9
4.18999e+1, -2.92076e-9
4.19999e+1, -2.92053e-9
4.20999e+1, -2.92070e-9
4.21999e+1, -2.92069e-9
4.22999e+1, -2.92049e-9
4.23999e+1, -2.92037e-9
4.24999e+1, -2.92046e-9
4.25999e+1, -2.92012e-9
4.26999e+1, -2.92028e-9
4.27999e+1, -2.92009e-9
4.28999e+1, -2.92015e-9
4.29999e+1, -2.91984e-9
4.30999e+1, -2.92007e-9
4.31999e+1, -2.91997e-9
4.32999e+1, -2.91965e-9
4.33999e+1, -2.91969e-9
4.34999e+1, -2.91980e-9
4.35999e+1, -2.91935e-9
4.36999e+1, -2.91953e-9
4.37999e+1, -2.91939e-9
4.38999e+1, -2.91933e-9
4.39999e+1, -2.91951e-9
4.40999e+1, -2.91952e-9
4.41999e+1, -2.91923e-9
4.42999e+1, -2.91888e-9
4.43999e+1, -2.91913e-9
4.44999e+1, -2.91897e-9
4.45999e+1, -2.91877e-9
4.46999e+1, -2.91859e-9
4.47999e+1, -2.91854e-9
4.48999e+1, -2.91885e-9
4.49999e+1, -2.91848e-9
4.50999e+1, -2.91847e-9
4.51999e+1, -2.91836e-9
4.52999e+1, -2.91822e-9
4.53999e+1, -2.91829e-9
4.54999e+1, -2.91813e-9
4.55999e+1, -2.91798e-9
4.56999e+1, -2.91820e-9
4.57999e+1, -2.91811e-9
4.58999e+1, -2.91803e-9
4.59999e+1, -2.91786e-9
4.60999e+1, -2.91812e-9
4.61999e+1, -2.91780e-9
4.62999e+1, -2.91778e-9
4.63999e+1, -2.91778e-9
4.64999e+1, -2.91786e-9
4.65999e+1, -2.91766e-9
4.66999e+1, -2.91765e-9
4.67999e+1, -2.91749e-9
4.68999e+1, -2.91725e-9
4.69999e+1, -2.91727e-9
4.70999e+1, -2.91717e-9
4.71999e+1, -2.91709e-9
4.72999e+1, -2.91698e-9
4.73998e+1, -2.91702e-9
4.74998e+1, -2.91668e-9
4.75998e+1, -2.91704e-9
4.76998e+1, -2.91672e-9
4.77998e+1, -2.91680e-9
4.78998e+1, -2.91654e-9
4.79998e+1, -2.91646e-9
4.80998e+1, -2.91661e-9
4.81998e+1, -2.91678e-9
4.82998e+1, -2.91652e-9
4.83998e+1, -2.91641e-9
4.84998e+1, -2.91612e-9
4.85998e+1, -2.91628e-9
4.86998e+1, -2.91624e-9
4.87998e+1, -2.91601e-9
4.88998e+1, -2.91601e-9
4.89998e+1, -2.91575e-9
4.90998e+1, -2.91574e-9
4.91998e+1, -2.91562e-9
4.92998e+1, -2.91557e-9
4.93998e+1, -2.91571e-9
4.94998e+1, -2.91529e-9
4.95998e+1, -2.91366e-9
4.96998e+1, -2.90955e-9
4.97998e+1, -2.90921e-9
4.98998e+1, -2.90952e-9
4.99998e+1, -2.90978e-9
5.00998e+1, -2.90952e-9
5.01998e+1, -2.90929e-9
5.02998e+1, -2.90928e-9
5.03998e+1, -2.90959e-9
5.04998e+1, -2.90962e-9
5.05998e+1, -2.90943e-9
5.06998e+1, -2.90965e-9
5.07998e+1, -2.90917e-9
5.08998e+1, -2.90938e-9
5.09998e+1, -2.90883e-9
5.10998e+1, -2.90904e-9
5.11998e+1, -2.90913e-9
5.12998e+1, -2.90898e-9
5.13998e+1, -2.90874e-9
5.14998e+1, -2.90903e-9
5.15998e+1, -2.90878e-9
5.16998e+1, -2.90924e-9
5.17998e+1, -2.90913e-9
5.18998e+1, -2.90901e-9
5.19998e+1, -2.90928e-9
5.20998e+1, -2.90874e-9
5.21998e+1, -2.90867e-9
5.22998e+1, -2.90868e-9
5.23998e+1, -2.90869e-9
5.24998e+1, -2.90858e-9
5.25998e+1, -2.90859e-9
5.26998e+1, -2.90830e-9
5.27998e+1, -2.90822e-9
5.28998e+1, -2.90830e-9
5.29998e+1, -2.90835e-9
5.30998e+1, -2.90833e-9
5.31998e+1, -2.90837e-9
5.32998e+1, -2.90812e-9
5.33998e+1, -2.90807e-9
5.34998e+1, -2.90822e-9
5.35998e+1, -2.90803e-9
5.36998e+1, -2.90804e-9
5.37998e+1, -2.90807e-9
5.38997e+1, -2.90777e-9
5.39997e+1, -2.90739e-9
5.40997e+1, -2.90770e-9
5.41997e+1, -2.90740e-9
5.42997e+1, -2.90724e-9
5.43997e+1, -2.90747e-9
5.44997e+1, -2.90754e-9
5.45997e+1, -2.90713e-9
5.46997e+1, -2.90701e-9
5.47997e+1, -2.90443e-9
5.48997e+1, -2.90045e-9
5.49997e+1, -2.90040e-9
5.50997e+1, -2.90087e-9
5.51997e+1, -2.90110e-9
5.52997e+1, -2.90101e-9
5.53997e+1, -2.90047e-9
5.54997e+1, -2.90094e-9
5.55997e+1, -2.90067e-9
5.56997e+1, -2.90072e-9
5.57997e+1, -2.90016e-9
5.58997e+1, -2.90016e-9
5.59997e+1, -2.90018e-9
5.60997e+1, -2.90039e-9
5.61997e+1, -2.89998e-9
5.62997e+1, -2.90055e-9
5.63997e+1, -2.90014e-9
5.64997e+1, -2.90018e-9
5.65997e+1, -2.89997e-9
5.66997e+1, -2.89994e-9
5.67997e+1, -2.90003e-9
5.68997e+1, -2.89982e-9
5.69997e+1, -2.89984e-9
5.70997e+1, -2.89979e-9
5.71997e+1, -2.89979e-9
5.72997e+1, -2.89958e-9
5.73997e+1, -2.89982e-9
5.74997e+1, -2.89961e-9
5.75997e+1, -2.89965e-9
5.76997e+1, -2.89970e-9
5.77997e+1, -2.89949e-9
5.78997e+1, -2.89981e-9
5.79997e+1, -2.89948e-9
5.80997e+1, -2.89952e-9
5.81997e+1, -2.89940e-9
5.82997e+1, -2.89964e-9
5.83997e+1, -2.89960e-9
5.84997e+1, -2.89926e-9
5.85997e+1, -2.89920e-9
5.86997e+1, -2.89931e-9
5.87997e+1, -2.89907e-9
5.88997e+1, -2.89907e-9
5.89997e+1, -2.89898e-9
5.90997e+1, -2.89902e-9
5.91997e+1, -2.89911e-9
5.92997e+1, -2.89856e-9
5.93997e+1, -2.89876e-9
5.94997e+1, -2.89875e-9
5.95997e+1, -2.89883e-9
5.96997e+1, -2.89865e-9
5.97997e+1, -2.89900e-9
5.98997e+1, -2.89839e-9
5.99997e+1, -2.89867e-9
6.00997e+1, -2.89842e-9
6.01997e+1, -2.89834e-9
6.02997e+1, -2.89859e-9
6.03997e+1, -2.89841e-9
6.04996e+1, -2.89822e-9
6.05996e+1, -2.89841e-9
6.06996e+1, -2.89828e-9
6.07996e+1, -2.89799e-9
6.08996e+1, -2.89819e-9
6.09996e+1, -2.89806e-9
6.10996e+1, -2.89793e-9
6.11996e+1, -2.89778e-9
6.12996e+1, -2.89788e-9
6.13996e+1, -2.89780e-9
6.14996e+1, -2.89781e-9
6.15996e+1, -2.89774e-9
6.16996e+1, -2.89778e-9
6.17996e+1, -2.89760e-9
6.18996e+1, -2.89770e-9
6.19996e+1, -2.89758e-9
6.20996e+1, -2.89764e-9
6.21996e+1, -2.89754e-9
6.22996e+1, -2.89746e-9
6.23996e+1, -2.89721e-9
6.24996e+1, -2.89732e-9
6.25996e+1, -2.89718e-9
6.26996e+1, -2.89711e-9
6.27996e+1, -2.89740e-9
6.28996e+1, -2.89713e-9
6.29996e+1, -2.89731e-9
6.30996e+1, -2.89705e-9
6.31996e+1, -2.89698e-9
6.32996e+1, -2.89693e-9
6.33996e+1, -2.89707e-9
6.34996e+1, -2.89695e-9
6.35996e+1, -2.89698e-9
6.36996e+1, -2.89683e-9
6.37996e+1, -2.89670e-9
6.38996e+1, -2.89675e-9
6.39996e+1, -2.89658e-9
6.40996e+1, -2.89693e-9
6.41996e+1, -2.89661e-9
6.42996e+1, -2.89654e-9
6.43996e+1, -2.89624e-9
6.44996e+1, -2.89613e-9
6.45996e+1, -2.89631e-9
6.46996e+1, -2.89629e-9
6.47996e+1, -2.89621e-9
6.48996e+1, -2.89609e-9
6.49996e+1, -2.89613e-9
6.50996e+1, -2.89597e-9
6.51996e+1, -2.89599e-9
6.52996e+1, -2.89605e-9
6.53996e+1, -2.89602e-9
6.54996e+1, -2.89587e-9
6.55996e+1, -2.89598e-9
6.56996e+1, -2.89593e-9
6.57996e+1, -2.89557e-9
6.58996e+1, -2.89576e-9
6.59996e+1, -2.89545e-9
6.60996e+1, -2.89578e-9
6.61996e+1, -2.89564e-9
6.62996e+1, -2.89570e-9
6.63996e+1, -2.89551e-9
6.64996e+1, -2.89546e-9
6.65996e+1, -2.89538e-9
6.66996e+1, -2.89529e-9
6.67996e+1, -2.89525e-9
6.68996e+1, -2.89518e-9
6.69995e+1, -2.89518e-9
6.70995e+1, -2.89484e-9
6.71995e+1, -2.89492e-9
6.72995e+1, -2.89516e-9
6.73995e+1, -2.89521e-9
6.74995e+1, -2.89499e-9
6.75995e+1, -2.89511e-9
6.76995e+1, -2.89513e-9
6.77995e+1, -2.89483e-9
6.78995e+1, -2.89464e-9
6.79995e+1, -2.89483e-9
6.80995e+1, -2.89476e-9
6.81995e+1, -2.89473e-9
6.82995e+1, -2.89451e-9
6.83995e+1, -2.89458e-9
6.84995e+1, -2.89475e-9
6.85995e+1, -2.89460e-9
6.86995e+1, -2.89438e-9
6.87995e+1, -2.89462e-9
6.88995e+1, -2.89453e-9
6.89995e+1, -2.89432e-9
6.90995e+1, -2.89443e-9
6.91995e+1, -2.89441e-9
6.92995e+1, -2.89430e-9
6.93995e+1, -2.89409e-9
6.94995e+1, -2.89412e-9
6.95995e+1, -2.89417e-9
6.96995e+1, -2.89405e-9
6.97995e+1, -2.89424e-9
6.98995e+1, -2.89392e-9
6.99995e+1, -2.89396e-9
7.00995e+1, -2.89367e-9
7.01995e+1, -2.89370e-9
7.02995e+1, -2.89390e-9
7.03995e+1, -2.89377e-9
7.04995e+1, -2.89371e-9
7.05995e+1, -2.89355e-9
7.06995e+1, -2.89343e-9
7.07995e+1, -2.89357e-9
7.08995e+1, -2.89324e-9
7.09995e+1, -2.89352e-9
7.10995e+1, -2.89317e-9
7.11995e+1, -2.89350e-9
7.12995e+1, -2.89322e-9
7.13995e+1, -2.89318e-9
7.14995e+1, -2.89343e-9
7.15995e+1, -2.89326e-9
7.16995e+1, -2.89296e-9
7.17995e+1, -2.89296e-9
7.18995e+1, -2.89219e-9
7.19995e+1, -2.89172e-9
7.20995e+1, -2.89163e-9
7.21995e+1, -2.89180e-9
7.22995e+1, -2.89150e-9
7.23995e+1, -2.89183e-9
7.24995e+1, -2.89148e-9
7.25995e+1, -2.89152e-9
7.26995e+1, -2.89136e-9
7.27995e+1, -2.89142e-9
7.28995e+1, -2.89138e-9
7.29995e+1, -2.89117e-9
7.30995e+1, -2.89143e-9
7.31995e+1, -2.89144e-9
7.32995e+1, -2.89102e-9
7.33995e+1, -2.89050e-9
7.34995e+1, -2.88873e-9
7.35994e+1, -2.88731e-9
7.36994e+1, -2.88650e-9
7.37994e+1, -2.88643e-9
7.38994e+1, -2.88658e-9
7.39994e+1, -2.88687e-9
7.40994e+1, -2.88673e-9
7.41994e+1, -2.88644e-9
7.42994e+1, -2.88676e-9
7.43994e+1, -2.88650e-9
7.44994e+1, -2.88618e-9
7.45994e+1, -2.88672e-9
7.46994e+1, -2.88627e-9
7.47994e+1, -2.88636e-9
7.48994e+1, -2.88640e-9
7.49994e+1, -2.88621e-9
7.50994e+1, -2.88642e-9
7.51994e+1, -2.88655e-9
7.52994e+1, -2.88665e-9
7.53994e+1, -2.88640e-9
7.54994e+1, -2.88677e-9
7.55994e+1, -2.88652e-9
7.56994e+1, -2.88614e-9
7.57994e+1, -2.88588e-9
7.58994e+1, -2.88562e-9
7.59994e+1, -2.88558e-9
7.60994e+1, -2.88563e-9
7.61994e+1, -2.88549e-9
7.62994e+1, -2.88501e-9
7.63994e+1, -2.88512e-9
